Date,Open,High,Low,Close,Adj Close,Volume
2018-09-28,64.889999,65.120003,64.360001,64.510002,58.745853,927200
2018-10-01,65.000000,65.010002,64.190002,64.480003,58.718533,648800
2018-10-02,64.440002,64.540001,64.050003,64.529999,58.764065,967800
2018-10-03,64.559998,64.650002,64.199997,64.470001,58.709423,926700
2018-10-04,64.360001,64.389999,63.680000,64.000000,58.281422,891300
2018-10-05,64.059998,64.139999,63.599998,63.740002,58.044655,586400
2018-10-09,63.580002,63.950001,63.240002,63.410000,57.744133,687900
2018-10-10,63.349998,63.700001,62.419998,62.529999,56.942768,1092700
2018-10-11,61.810001,62.169998,60.849998,60.910000,55.467522,1707600
2018-10-12,61.520000,61.669998,60.389999,60.599998,55.185215,1194500
2018-10-15,60.599998,60.810001,60.320000,60.330002,54.939346,877300
2018-10-16,60.400002,61.119999,60.180000,61.060001,55.604122,886700
2018-10-17,61.110001,61.639999,60.709999,61.590000,56.086758,1449900
2018-10-18,61.470001,61.509998,60.759998,60.990002,55.540367,723200
2018-10-19,61.200001,61.410000,60.939999,61.020000,55.567696,731900
2018-10-22,61.150002,61.150002,60.490002,60.540001,55.130581,782500
2018-10-23,60.049999,61.070000,59.750000,60.869999,55.431099,1214600
2018-10-24,60.669998,60.669998,59.310001,59.529999,54.210827,831200
2018-10-25,59.849998,60.320000,59.290001,60.060001,54.693466,869200
2018-10-26,59.720001,60.070000,58.970001,59.599998,54.274574,858100
2018-10-29,60.080002,60.380001,58.740002,58.930000,53.664440,1002500
2018-10-30,59.000000,59.750000,58.730000,59.709999,54.374741,845900
2018-10-31,60.160000,60.250000,59.730000,59.759998,54.420277,972700
2018-11-01,59.970001,60.000000,59.150002,59.610001,54.283669,869300
2018-11-02,59.980000,60.220001,59.750000,60.040001,54.675259,1296300
2018-11-05,60.000000,60.910000,60.000000,60.580002,55.167007,842800
2018-11-06,60.570000,60.590000,59.930000,60.230000,54.848274,673100
2018-11-07,60.520000,60.560001,60.160000,60.290001,54.902924,756500
2018-11-08,60.360001,60.720001,60.250000,60.650002,55.230747,525700
2018-11-09,60.410000,60.939999,60.060001,60.450001,55.048626,720100
2018-11-12,60.369999,60.459999,59.799999,59.919998,54.565983,518400
2018-11-13,59.840000,60.770000,59.810001,60.509998,55.103260,914000
2018-11-14,61.000000,61.410000,60.250000,60.880001,55.440201,1049000
2018-11-15,60.740002,60.980000,60.209999,60.880001,55.440201,779600
2018-11-16,60.500000,61.060001,60.270000,60.700001,55.276287,497200
2018-11-19,60.700001,60.720001,59.910000,60.340000,54.948452,683500
2018-11-20,59.599998,59.900002,59.209999,59.599998,54.274574,1017600
2018-11-21,59.900002,61.250000,59.759998,60.189999,54.811855,1005600
2018-11-22,60.189999,60.320000,59.580002,59.900002,54.547764,413000
2018-11-23,59.650002,60.040001,59.400002,60.040001,54.675259,368900
2018-11-26,60.209999,60.419998,59.860001,60.060001,54.693466,939400
2018-11-27,60.080002,60.340000,59.840000,60.049999,54.684361,924600
2018-11-28,60.200001,60.830002,60.009998,60.480000,55.075935,1003500
2018-11-29,60.419998,60.689999,60.189999,60.459999,55.057728,853100
2018-11-30,60.330002,60.639999,60.169998,60.599998,55.185215,776300
2018-12-03,60.990002,61.000000,59.970001,60.389999,54.993984,932400
2018-12-04,60.180000,60.369999,59.580002,60.060001,54.693466,923600
2018-12-05,60.250000,60.950001,59.630001,60.200001,54.820969,1044700
2018-12-06,59.689999,59.840000,57.580002,59.459999,54.147079,1996000
2018-12-07,59.500000,60.070000,58.900002,58.959999,53.691757,928300
2018-12-10,58.950001,59.349998,58.380001,58.790001,53.536942,840300
2018-12-11,59.020000,59.610001,58.450001,58.700001,53.454994,1224900
2018-12-12,59.000000,59.240002,58.259998,58.669998,53.427662,1281100
2018-12-13,58.869999,59.220001,58.430000,58.669998,53.427662,733600
2018-12-14,58.369999,58.560001,58.119999,58.380001,53.163582,999500
2018-12-17,58.090000,58.270000,57.250000,57.570000,52.425957,924100
2018-12-18,57.439999,58.450001,57.349998,57.660000,52.507915,1795100
2018-12-19,57.650002,58.299999,57.009998,57.360001,52.234726,2054200
2018-12-20,56.950001,57.459999,56.439999,56.540001,51.487991,1009600
2018-12-21,56.700001,56.759998,55.250000,55.400002,50.449856,3034200
2018-12-24,54.700001,55.730000,54.369999,54.970001,50.058270,815800
2018-12-27,55.500000,55.730000,54.750000,55.619999,50.650196,1539400
2018-12-28,55.349998,56.090000,55.200001,55.820000,51.433399,1684400
2018-12-31,56.040001,56.480000,55.919998,56.049999,51.645321,800400
2019-01-02,55.560001,56.700001,55.439999,56.529999,52.087597,812900
2019-01-03,56.270000,56.459999,55.970001,56.270000,51.848038,949900
